id,"username","password"
1,"bill@invalidemail.com","c726698620762d88f738be4a2"
2,"","d41d8cd98f00b204e9800998e"
3,"moose@moose.com","5b80e83982e97ffd97033a76b"
4,"greyhoundjoey@yahoo.com","c726698620762d88f738be4a2"
5,"johnnysmith@ivalidemail.com",""
6,"mason@nate.com",""
7,"vevo@leo.com",""
8,"goofy@goofy.com",""
9,"dsdsdksjatsdsds;ldk.com",""
10,"billy@bboy.com",""
11,"whatevs@whatevs.com",""
12,"bill@noemail.com",""
13,"wonka@willy.con",""
14,"someemail@someemail.com",""
15,"bill.meirs@gmcr.com",""
